         924 function calls (887 primitive calls) in 0.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.042    0.042 Final_write.py:211(mainfunn)
        9    0.030    0.003    0.030    0.003 {imwrite}
        1    0.004    0.004    0.004    0.004 {resize}
        7    0.002    0.000    0.003    0.000 Final_write.py:148(cropp)
    24/22    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        5    0.000    0.000    0.002    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/numeric.py:268(full)
        5    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(copyto)
        7    0.000    0.000    0.001    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/arrayprint.py:1473(_array_str_implementation)
        7    0.000    0.000    0.001    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/arrayprint.py:516(array2string)
        1    0.001    0.001    0.001    0.001 {findContours}
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/arrayprint.py:461(wrapper)
        1    0.000    0.000    0.000    0.000 {cvtColor}
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/arrayprint.py:478(_array2string)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dstack)
        1    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/lib/shape_base.py:663(dstack)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        7    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/arrayprint.py:409(_get_format_function)
       16    0.000    0.000    0.000    0.000 /home/imitrob/anaconda3/envs/ros2/lib/python3.6/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
        1    0.000    0.000    0.000    0.000 {absdiff}
